state,district,crop,season,area,rainfall,temperature,production,yield
Rajasthan,Chittorgarh,Gram,Kharif,12.47,109.5,31.42,6.87,0.55
Punjab,Ferozepur,Potato,Rabi,34.48,628.17,37.0,406.97,11.8
Uttar Pradesh,Moradabad,Rice,Kharif,32.25,782.5,43.68,49.52,1.54
Haryana,Hisar,Sugarcane,Zaid,17.35,747.0,22.98,995.8,57.4
Haryana,Karnal,Mustard,Zaid,3.78,674.17,37.2,2.36,0.63
West Bengal,Howrah,Rice,Rabi,17.23,2140.93,34.3,39.57,2.3
Gujarat,Rajkot,Groundnut,Rabi,18.52,1036.52,41.32,16.35,0.88
West Bengal,Howrah,Mustard,Rabi,32.8,1825.98,38.94,12.48,0.38
Tamil Nadu,Erode,Cotton,Kharif,43.21,1343.26,37.96,44.4,1.03
Gujarat,Amreli,Bajra,Kharif,7.59,607.34,23.12,4.84,0.64
Tamil Nadu,Nagapattinam,Cotton,Zaid,36.07,899.07,31.86,61.24,1.7
Bihar,Munger,Sugarcane,Kharif,47.42,1372.9,17.36,2328.86,49.11
Kerala,Ernakulam,Rice,Rabi,25.53,2792.95,22.7,30.59,1.2
Punjab,Bathinda,Cotton,Zaid,45.86,686.48,22.28,49.54,1.08
Maharashtra,Pune,Jowar,Kharif,15.02,650.71,30.49,10.83,0.72
Tamil Nadu,Erode,Rice,Zaid,19.63,800.74,35.54,27.6,1.41
Uttar Pradesh,Jhansi,Gram,Kharif,9.51,951.21,13.83,3.8,0.4
Maharashtra,Thane,Groundnut,Kharif,44.11,1336.37,34.65,27.61,0.63
Assam,Karbi Anglong,Sugarcane,Rabi,44.94,2865.55,22.08,1297.15,28.86
Odisha,Sundargarh,Turmeric,Kharif,44.28,1637.1,25.95,149.06,3.37
Odisha,Balasore,Rice,Zaid,6.51,1724.12,23.36,20.18,3.1
West Bengal,Birbhum,Tea,Zaid,17.18,1543.63,38.08,15.87,0.92
Gujarat,Amreli,Bajra,Rabi,38.18,800.15,23.55,15.41,0.4
Madhya Pradesh,Ujjain,Sugarcane,Kharif,31.59,964.34,33.3,2219.28,70.25
West Bengal,Jalpaiguri,Tea,Zaid,36.17,1836.51,38.07,41.57,1.15
Uttar Pradesh,Varanasi,Gram,Zaid,25.44,701.96,29.47,12.46,0.49
Tamil Nadu,Salem,Rice,Rabi,39.28,659.54,30.49,50.9,1.3
Gujarat,Junagadh,Rice,Kharif,30.06,925.0,32.62,57.83,1.92
Assam,Barpeta,Sugarcane,Zaid,11.5,1940.49,18.14,473.51,41.17
